Detector Type,Descriptor Type,Frame ID,Number of Keypoints,Time for Keypoint Detection [ms],Time for Descriptor Extraction [ms],Number of Matched Points,Time for Matching [ms]
SHITOMASI,SIFT,2,1361,8.87019600,7.92460900,118,0.13618800
SHITOMASI,SIFT,3,1358,8.40004400,10.83778200,123,1.55702800
SHITOMASI,SIFT,4,1333,10.57825100,12.34598800,120,0.10980100
SHITOMASI,SIFT,5,1284,8.85380100,9.75319400,120,0.10711200
SHITOMASI,SIFT,6,1322,10.30446000,8.49909200,113,0.44265400
SHITOMASI,SIFT,7,1366,10.83384600,8.76094600,114,0.18447600
SHITOMASI,SIFT,8,1389,12.69010800,11.05179900,123,0.11860700
SHITOMASI,SIFT,9,1339,10.15406100,8.51248100,111,0.11279100

HARRIS,BRISK,0,115,1.82631100,0.29928700,0,0.00000000
HARRIS,BRISK,1,98,3.01993800,0.27957400,17,0.07635600
HARRIS,BRISK,2,113,2.79194500,0.29225000,14,0.07358900
HARRIS,BRISK,3,121,2.39671900,0.30202700,18,0.08378800
HARRIS,BRISK,4,160,2.42867200,0.34448700,21,0.08246900
HARRIS,BRISK,5,383,10.76034000,0.45378600,26,0.05095000
HARRIS,BRISK,6,85,1.91404500,0.28723600,43,0.08465100
HARRIS,BRISK,7,210,3.11381900,0.37451300,18,0.11423500
HARRIS,BRISK,8,171,2.32280600,0.41877900,31,0.07626900
HARRIS,BRISK,9,281,5.93188600,0.39979100,26,0.08238700

HARRIS,BRIEF,0,115,2.43387600,0.23808200,0,0.00000000
HARRIS,BRIEF,1,98,2.56395600,0.34987300,17,0.10310100
HARRIS,BRIEF,2,113,1.90289400,0.28899700,14,0.04435600
HARRIS,BRIEF,3,121,1.84932200,0.26880000,18,0.08561800
HARRIS,BRIEF,4,160,2.35787300,0.33436000,21,0.10993600
HARRIS,BRIEF,5,383,9.84691400,0.49464300,26,0.08856700
HARRIS,BRIEF,6,85,2.63659300,0.28433400,43,0.11099400
HARRIS,BRIEF,7,210,2.82629500,0.27488500,18,0.10202400
HARRIS,BRIEF,8,171,2.30445600,0.28432200,31,0.10123600
HARRIS,BRIEF,9,281,5.26147800,0.33388200,26,0.10215700

HARRIS,ORB,0,115,1.77822000,0.63247900,0,0.00000000
HARRIS,ORB,1,98,2.18586400,0.63484400,17,0.07753400
HARRIS,ORB,2,113,2.13876600,0.99265300,14,0.07459000
HARRIS,ORB,3,121,1.79699800,0.59823500,18,0.08723000
HARRIS,ORB,4,160,2.22174200,0.72812200,21,0.07043600
HARRIS,ORB,5,383,10.10134400,0.73920900,26,0.04669100
HARRIS,ORB,6,85,1.63826600,0.77225500,43,0.11754300
HARRIS,ORB,7,210,3.02212300,0.72281400,18,0.06707800
HARRIS,ORB,8,171,2.22944300,0.86814200,31,0.07911200
HARRIS,ORB,9,281,5.03979700,0.77129900,26,0.07416400

HARRIS,FREAK,0,115,1.77455500,27.35598600,0,0.00000000
HARRIS,FREAK,1,98,1.76539000,26.32562100,17,0.07123200
HARRIS,FREAK,2,113,2.37206400,24.86230800,14,0.08766100
HARRIS,FREAK,3,121,2.43666000,25.57490000,18,0.12276900
HARRIS,FREAK,4,160,2.15188800,25.96008200,21,0.09324900
HARRIS,FREAK,5,383,13.95218800,29.83094700,26,0.07611500
HARRIS,FREAK,6,85,3.02037500,27.02160100,43,0.09671100
HARRIS,FREAK,7,210,4.00749100,34.91821600,18,0.08366600
HARRIS,FREAK,8,171,3.26783600,28.16533700,31,0.09593400
HARRIS,FREAK,9,281,5.45846400,24.50371500,26,0.08656200


HARRIS,SIFT,0,115,2.95982000,10.24210700,0,0.00000000
HARRIS,SIFT,1,98,1.86138900,8.11879400,17,0.02560000
HARRIS,SIFT,2,113,2.57687200,7.59158600,14,0.02441200
HARRIS,SIFT,3,121,1.89506900,7.88522400,18,0.02692200
HARRIS,SIFT,4,160,2.15572700,8.56229100,21,0.02882500
HARRIS,SIFT,5,383,10.51496900,7.96463500,26,0.03510100
HARRIS,SIFT,6,85,2.70531400,9.10187200,43,0.03446100
HARRIS,SIFT,7,210,3.97177800,7.23147600,18,0.02876000
HARRIS,SIFT,8,171,3.72120600,8.03258600,31,0.03008100
HARRIS,SIFT,9,281,6.61321400,6.96179300,26,0.03146200

FAST,BRISK,0,1824,1.00151700,1.14193700,0,0.00000000
FAST,BRISK,1,1832,0.99027000,1.17270100,149,0.18200900
FAST,BRISK,2,1810,0.93043100,1.21259500,152,0.18258100
FAST,BRISK,3,1817,0.93243200,1.24657700,150,0.18486800
FAST,BRISK,4,1793,0.98385200,1.12723200,155,0.37101000
FAST,BRISK,5,1796,0.90369200,1.20982100,149,1.68932700
FAST,BRISK,6,1788,0.98363300,1.18865600,149,0.38571500
FAST,BRISK,7,1695,0.97307900,1.20976000,156,0.38120800
FAST,BRISK,8,1749,0.98089100,1.14361400,150,0.35113800
FAST,BRISK,9,1770,0.89919100,1.10815300,138,0.16971000

FAST,BRIEF,0,1824,1.00707900,0.64545800,0,0.00000000
FAST,BRIEF,1,1832,0.98319600,0.64099700,149,0.26768700
FAST,BRIEF,2,1810,0.87450000,0.56213500,152,0.22759800
FAST,BRIEF,3,1817,0.90757100,0.73831400,150,0.13391300
FAST,BRIEF,4,1793,0.94355500,0.59652500,155,0.14906900
FAST,BRIEF,5,1796,0.96609100,0.60641100,149,0.14111400
FAST,BRIEF,6,1788,0.85582200,0.65429400,149,0.26165000
FAST,BRIEF,7,1695,0.93828300,0.73862500,156,0.14348800
FAST,BRIEF,8,1749,1.02594700,0.78683100,150,0.19111000
FAST,BRIEF,9,1770,0.89193000,0.80558700,138,0.15828600

FAST,ORB,0,1824,0.99307000,1.21846300,0,0.00000000
FAST,ORB,1,1832,1.02300800,1.22536800,149,0.15395300
FAST,ORB,2,1810,0.90254700,1.36745400,152,0.31088800
FAST,ORB,3,1817,1.06019500,1.24512800,150,0.19348400
FAST,ORB,4,1793,1.01530700,1.25058900,155,0.16353300
FAST,ORB,5,1796,0.82722800,0.93395600,149,0.16801300
FAST,ORB,6,1788,0.88393400,0.95896900,149,0.16415900
FAST,ORB,7,1695,0.89366500,0.85899100,156,0.15245900
FAST,ORB,8,1749,0.94976800,0.87801300,150,0.15325500
FAST,ORB,9,1770,0.87330000,1.19210300,138,0.16995000

FAST,FREAK,0,1824,0.98955000,31.98706900,0,0.00000000
FAST,FREAK,1,1832,0.75789700,25.91450500,149,0.21102800
FAST,FREAK,2,1810,0.74350600,25.80095000,152,0.18761500
FAST,FREAK,3,1817,1.07045400,34.99903700,150,0.16660100
FAST,FREAK,4,1793,0.66877400,32.07543300,155,0.21641000
FAST,FREAK,5,1796,1.01099000,27.62355300,149,0.20917200
FAST,FREAK,6,1788,0.93471100,26.35754100,149,0.17880000
FAST,FREAK,7,1695,0.96651000,29.71498600,156,0.27401300
FAST,FREAK,8,1749,0.88668700,28.22795100,150,0.17224500
FAST,FREAK,9,1770,0.97095400,29.80072900,138,0.16629900


FAST,SIFT,0,1824,0.68668500,10.99463800,0,0.00000000
FAST,SIFT,1,1832,0.96137400,9.42303900,149,0.43914700
FAST,SIFT,2,1810,0.94267600,11.76371700,152,0.42488200
FAST,SIFT,3,1817,0.87613300,10.82280100,150,0.38551800
FAST,SIFT,4,1793,0.89408200,10.46800300,155,0.48873400
FAST,SIFT,5,1796,0.95999100,9.12708400,149,0.51855300
FAST,SIFT,6,1788,0.96503700,10.48211700,149,0.40426400
FAST,SIFT,7,1695,0.93896300,11.26288100,156,0.51505600
FAST,SIFT,8,1749,0.97261000,10.31523800,150,0.46706000
FAST,SIFT,9,1770,0.90868600,9.55269800,138,0.46848300

BRISK,BRISK,0,2757,27.43953300,1.97541200,0,0.00000000
BRISK,BRISK,1,2777,27.29019000,2.26960500,264,0.36739400
BRISK,BRISK,2,2741,27.63453900,2.09533000,282,0.38166700
BRISK,BRISK,3,2735,27.32299900,2.12590000,282,0.37999500
BRISK,BRISK,4,2757,27.07924100,2.32486400,277,0.45484000
BRISK,BRISK,5,2695,26.83779200,2.23508500,297,0.39611200
BRISK,BRISK,6,2715,27.86805800,2.13553400,279,0.39550100
BRISK,BRISK,7,2628,26.39877200,2.09584400,289,0.37851300
BRISK,BRISK,8,2639,26.95758400,1.98598200,272,0.34653800
BRISK,BRISK,9,2672,27.71088800,1.99084300,266,0.35138400

BRISK,BRIEF,0,2757,27.19678800,0.89683900,0,0.00000000
BRISK,BRIEF,1,2777,27.62495600,1.15015600,264,0.34578800
BRISK,BRIEF,2,2741,27.03497600,0.90871100,282,0.40390000
BRISK,BRIEF,3,2735,26.92361800,0.89595400,282,0.36273600
BRISK,BRIEF,4,2757,28.11124200,0.96715600,277,0.41761100
BRISK,BRIEF,5,2695,26.80233400,0.84878700,297,0.40802600
BRISK,BRIEF,6,2715,27.66254000,0.94817400,279,0.40056900
BRISK,BRIEF,7,2628,27.08912400,0.90812000,289,0.39498900
BRISK,BRIEF,8,2639,27.28504700,0.90755800,272,0.36795700
BRISK,BRIEF,9,2672,27.13026800,0.86679800,266,0.40499200

BRISK,ORB,0,2757,27.38059400,4.43768300,0,0.00000000
BRISK,ORB,1,2777,27.29760600,4.00962400,264,0.31878600
BRISK,ORB,2,2741,27.17237300,4.06736300,282,0.36658000
BRISK,ORB,3,2735,27.44161500,3.80605800,282,0.30267600
BRISK,ORB,4,2757,27.65839900,3.98170500,277,0.36091300
BRISK,ORB,5,2695,27.92499000,4.01830300,297,0.31786100
BRISK,ORB,6,2715,28.41856200,3.93264900,279,0.31790300
BRISK,ORB,7,2628,27.00514100,3.79773500,289,0.30477000
BRISK,ORB,8,2639,29.91387100,3.83248200,272,0.36521900
BRISK,ORB,9,2672,29.41002800,4.49044900,266,0.31669200

BRISK,FREAK,0,2757,28.20485900,28.62865500,0,0.00000000
BRISK,FREAK,1,2777,28.10330200,26.79450200,242,0.49240400
BRISK,FREAK,2,2741,27.43129100,35.01005900,260,0.33614200
BRISK,FREAK,3,2735,27.27557600,27.19260000,263,0.35282700
BRISK,FREAK,4,2757,27.90685500,31.74076900,264,0.51439900
BRISK,FREAK,5,2695,27.14233100,29.75490200,274,0.33686400
BRISK,FREAK,6,2715,26.83282000,26.95420900,256,0.48568900
BRISK,FREAK,7,2628,26.39646600,31.01551900,269,0.37555000
BRISK,FREAK,8,2639,27.62102700,31.54472900,255,0.31863500
BRISK,FREAK,9,2672,27.32394200,26.17124500,243,0.49937300


BRISK,SIFT,0,2757,27.63370100,17.71460000,0,0.00000000
BRISK,SIFT,1,2777,27.97923900,20.33883200,264,0.53062000
BRISK,SIFT,2,2741,27.86402100,16.32531500,282,0.78686500
BRISK,SIFT,3,2735,27.20162200,16.64583000,282,0.66071000
BRISK,SIFT,4,2757,27.07739000,18.21438600,277,0.50822200
BRISK,SIFT,5,2695,27.74725900,16.73372800,297,0.49577000
BRISK,SIFT,6,2715,28.38172000,18.33228200,279,0.52950200
BRISK,SIFT,7,2628,27.06719900,17.16159300,289,1.96260200
BRISK,SIFT,8,2639,27.65668100,16.99719100,272,1.69075500
BRISK,SIFT,9,2672,28.73680000,17.08546400,266,0.47049000

ORB,BRISK,0,500,86.48229800,0.80325000,0,0.00000000
ORB,BRISK,1,500,5.35112300,0.88202800,83,0.11896300
ORB,BRISK,2,500,5.57891600,0.86422900,93,0.13369000
ORB,BRISK,3,500,5.53813600,1.00515900,95,0.12860000
ORB,BRISK,4,500,5.48124000,0.98471400,103,0.14950400
ORB,BRISK,5,500,5.31687700,1.07905800,101,0.13336500
ORB,BRISK,6,500,6.66293000,1.05606800,116,0.16301000
ORB,BRISK,7,500,6.40847000,1.06968300,120,0.14922000
ORB,BRISK,8,500,5.75746500,1.05963300,120,0.16699700
ORB,BRISK,9,500,5.47337400,1.06769300,119,0.15132500

ORB,BRIEF,0,500,5.40255300,0.30273000,0,0.00000000
ORB,BRIEF,1,500,5.74215000,0.34938800,92,0.20089200
ORB,BRIEF,2,500,6.35404000,0.54059700,102,0.13127000
ORB,BRIEF,3,500,5.63581600,0.58441200,106,0.12191500
ORB,BRIEF,4,500,5.47336400,0.55163400,113,0.12007000
ORB,BRIEF,5,500,5.72290700,0.41920100,109,0.09933300
ORB,BRIEF,6,500,7.15722500,0.62899800,125,0.32828500
ORB,BRIEF,7,500,5.49462400,0.39632500,130,0.13602300
ORB,BRIEF,8,500,5.44211900,0.44240600,129,0.15335200
ORB,BRIEF,9,500,5.59098800,0.45379400,127,0.15210900

ORB,ORB,0,500,5.52889700,4.06175300,0,0.00000000
ORB,ORB,1,500,6.06421200,4.63290300,92,0.10626800
ORB,ORB,2,500,6.01719600,4.94914700,102,0.13768600
ORB,ORB,3,500,6.13218200,3.72760700,106,0.10726300
ORB,ORB,4,500,5.30654600,4.77627500,113,0.10429600
ORB,ORB,5,500,5.24149900,4.01381800,109,0.10332700
ORB,ORB,6,500,7.44266100,4.09265300,125,0.33999100
ORB,ORB,7,500,6.03652900,3.78127300,130,0.14686800
ORB,ORB,8,500,5.64843100,3.81270300,129,0.10143400
ORB,ORB,9,500,6.05394800,4.21647700,127,0.13848000

ORB,FREAK,0,500,5.42322600,25.56211400,0,0.00000000
ORB,FREAK,1,500,5.45770000,26.04424400,46,0.09165400
ORB,FREAK,2,500,5.29251800,25.53657700,53,0.10700400
ORB,FREAK,3,500,6.85058000,30.14140000,56,0.11134300
ORB,FREAK,4,500,5.40762700,26.03869800,65,0.08172800
ORB,FREAK,5,500,5.46940900,26.08503800,55,0.11376000
ORB,FREAK,6,500,5.37512400,25.90198900,64,0.10958300
ORB,FREAK,7,500,5.57304700,28.14117500,66,0.13197300
ORB,FREAK,8,500,7.67723700,32.46409200,71,0.13088300
ORB,FREAK,9,500,8.18805500,25.60792800,73,0.13987600


ORB,SIFT,0,500,5.46382900,18.60579000,0,0.00000000
ORB,SIFT,1,500,5.73734100,19.58646100,92,0.14608700
ORB,SIFT,2,500,6.45671000,19.09746400,102,0.15941500
ORB,SIFT,3,500,7.06592600,19.51706400,106,0.16091800
ORB,SIFT,4,500,6.25458300,20.49641100,113,0.11577500
ORB,SIFT,5,500,6.80817100,17.78615900,109,0.14171900
ORB,SIFT,6,500,5.34491100,19.68455900,125,0.14783300
ORB,SIFT,7,500,5.34199800,20.32414200,130,0.38232400
ORB,SIFT,8,500,5.37253700,21.74847200,129,0.64154400
ORB,SIFT,9,500,5.41900400,19.21921000,127,0.12986500

AKAZE,BRISK,0,1351,38.88935400,1.27748500,0,0.00000000
AKAZE,BRISK,1,1327,40.36700300,1.31278000,166,0.19531800
AKAZE,BRISK,2,1311,35.35460200,1.26809400,157,0.36486400
AKAZE,BRISK,3,1351,36.14521800,1.21341200,161,0.19992900
AKAZE,BRISK,4,1360,37.64604300,1.37091600,155,0.32543600
AKAZE,BRISK,5,1347,35.39661000,1.34384500,163,0.21723200
AKAZE,BRISK,6,1363,36.84599100,1.38315200,164,0.38310200
AKAZE,BRISK,7,1331,37.19715800,1.44470400,173,0.39105500
AKAZE,BRISK,8,1357,35.73842000,1.35260300,175,0.23252800
AKAZE,BRISK,9,1331,36.44553000,1.50958600,177,0.62013300

AKAZE,BRIEF,0,1351,37.44552600,1.09265200,0,0.00000000
AKAZE,BRIEF,1,1327,38.08864800,0.90028200,166,0.29765200
AKAZE,BRIEF,2,1311,39.37934400,0.65586300,157,0.16069800
AKAZE,BRIEF,3,1351,40.58082900,0.92151300,161,0.17715400
AKAZE,BRIEF,4,1360,37.40204400,0.74468300,155,0.17223800
AKAZE,BRIEF,5,1347,41.87177300,0.71421100,163,0.27944600
AKAZE,BRIEF,6,1363,39.95286500,1.06066000,164,0.26798700
AKAZE,BRIEF,7,1331,34.31441200,1.14318900,173,0.33166700
AKAZE,BRIEF,8,1357,38.46015900,1.06921800,175,0.14510600
AKAZE,BRIEF,9,1331,36.52214500,1.02427800,177,0.19554400

AKAZE,ORB,0,1351,37.92298900,2.86786500,0,0.00000000
AKAZE,ORB,1,1327,37.28633200,2.80061300,166,0.20424600
AKAZE,ORB,2,1311,43.00076200,3.26715800,157,0.15373300
AKAZE,ORB,3,1351,38.59141700,2.52304900,161,0.13054400
AKAZE,ORB,4,1360,37.97449500,2.62766400,155,0.16386100
AKAZE,ORB,5,1347,36.56658600,2.75443900,163,0.18029200
AKAZE,ORB,6,1363,35.84235600,2.89206900,164,0.16986200
AKAZE,ORB,7,1331,37.49320400,2.68261600,173,0.26038600
AKAZE,ORB,8,1357,52.76944200,2.73632900,175,0.17225500
AKAZE,ORB,9,1331,41.70266100,2.80877000,177,0.19594700

AKAZE,FREAK,0,1351,38.49525700,28.31440500,0,0.00000000
AKAZE,FREAK,1,1327,38.61020200,26.72547200,166,0.18870700
AKAZE,FREAK,2,1311,36.81749000,27.31234000,157,0.21864200
AKAZE,FREAK,3,1351,37.89442300,27.31546400,161,0.20692400
AKAZE,FREAK,4,1360,42.86007900,29.43245900,155,0.18313700
AKAZE,FREAK,5,1347,34.68661700,31.62519600,163,0.24276000
AKAZE,FREAK,6,1363,37.29472400,27.27245600,164,0.20060300
AKAZE,FREAK,7,1331,36.72478900,28.91585900,173,0.20668500
AKAZE,FREAK,8,1357,35.76545800,25.80061700,175,0.55311000
AKAZE,FREAK,9,1331,35.30567400,26.30336900,177,0.21543800

AKAZE,AKAZE,0,1351,35.54586300,28.37378000,0,0.00000000
AKAZE,AKAZE,1,1327,33.92511500,27.62742300,166,0.14990700
AKAZE,AKAZE,2,1311,35.22538900,28.39270600,157,0.14122000
AKAZE,AKAZE,3,1351,36.11090300,27.71188700,161,0.47132800
AKAZE,AKAZE,4,1360,38.61493800,25.51002900,155,0.14615900
AKAZE,AKAZE,5,1347,34.81186100,27.97583500,163,0.15838900
AKAZE,AKAZE,6,1363,35.54177500,32.75215200,164,0.37188000
AKAZE,AKAZE,7,1331,33.74600400,29.80981600,173,0.38384600
AKAZE,AKAZE,8,1357,37.33064800,27.39191700,175,0.16396300
AKAZE,AKAZE,9,1331,37.42459700,27.72786600,177,0.52595400

AKAZE,SIFT,0,1351,34.44855100,12.74049100,0,0.00000000
AKAZE,SIFT,1,1327,38.75484900,11.86664400,166,0.44477700
AKAZE,SIFT,2,1311,36.05028700,14.96120200,157,0.20494200
AKAZE,SIFT,3,1351,36.82230700,12.84190200,161,0.20694700
AKAZE,SIFT,4,1360,37.36897600,12.01721200,155,0.20185400
AKAZE,SIFT,5,1347,38.25759600,12.01445000,163,0.39354900
AKAZE,SIFT,6,1363,36.58302200,11.91469600,164,0.17993700
AKAZE,SIFT,7,1331,37.79684200,12.27410400,173,0.22274600
AKAZE,SIFT,8,1357,36.16633600,12.31261300,175,0.24172600
AKAZE,SIFT,9,1331,37.30773100,12.13128800,177,0.21793300

SIFT,BRISK,0,1437,55.55109500,1.16858400,0,0.00000000
SIFT,BRISK,1,1371,41.78936500,1.07006200,137,0.15986900
SIFT,BRISK,2,1381,42.21552100,1.09886900,132,0.15555400
SIFT,BRISK,3,1336,41.58654700,1.17720700,124,0.17089700
SIFT,BRISK,4,1303,43.21267600,1.06677600,138,0.16785100
SIFT,BRISK,5,1370,40.72629600,1.15461600,134,0.34332200
SIFT,BRISK,6,1396,46.10555300,1.10569600,140,0.18352300
SIFT,BRISK,7,1382,45.96236800,1.27691100,137,0.19714600
SIFT,BRISK,8,1462,44.90268800,1.32682400,148,0.18744300
SIFT,BRISK,9,1422,45.92645700,1.08596500,159,0.19370000

SIFT,BRIEF,0,1437,43.61256500,0.88112900,0,0.00000000
SIFT,BRIEF,1,1371,42.68616600,0.69292500,138,0.47353600
SIFT,BRIEF,2,1381,46.69112100,0.82688200,132,0.09981800
SIFT,BRIEF,3,1336,40.38977000,0.83356400,124,0.10165000
SIFT,BRIEF,4,1303,41.50016400,0.81249000,138,0.09451600
SIFT,BRIEF,5,1370,40.08718700,0.81737900,134,0.23078400
SIFT,BRIEF,6,1396,42.60563500,0.63781300,140,0.32223900
SIFT,BRIEF,7,1382,47.49851000,0.62188000,137,0.16944200
SIFT,BRIEF,8,1462,48.21270100,0.62079000,148,0.17035300
SIFT,BRIEF,9,1422,48.34885000,0.60431900,159,0.17951300


SIFT,FREAK,0,1437,60.26468200,26.48361800,0,0.00000000
SIFT,FREAK,1,1371,50.11354700,25.91367300,137,0.19381000
SIFT,FREAK,2,1381,48.87995500,25.76922800,131,0.17317000
SIFT,FREAK,3,1336,48.16961900,26.08787400,123,0.15154200
SIFT,FREAK,4,1303,48.20326200,30.06030400,137,0.17225200
SIFT,FREAK,5,1370,55.66906800,29.90516300,133,0.14760200
SIFT,FREAK,6,1396,52.19706400,26.57229900,139,0.24330800
SIFT,FREAK,7,1382,52.48288100,26.24881700,135,0.18296300
SIFT,FREAK,8,1462,54.33478000,26.07099700,147,0.19042600
SIFT,FREAK,9,1422,59.88560500,30.02123100,158,0.17988600


SIFT,SIFT,0,1437,59.99819100,47.66621300,0,0.00000000
SIFT,SIFT,1,1371,56.74583300,51.25920100,138,0.20510700
SIFT,SIFT,2,1381,57.00121700,51.89017400,132,0.18027300
SIFT,SIFT,3,1336,57.29880600,52.17412300,124,0.17148300
SIFT,SIFT,4,1303,56.42741100,49.87115400,138,0.19406100
SIFT,SIFT,5,1370,61.38480900,51.90218200,134,0.67203400
SIFT,SIFT,6,1396,54.25169100,51.92083900,140,0.18887000
SIFT,SIFT,7,1382,56.64852600,49.73884900,137,0.18394500
SIFT,SIFT,8,1462,64.45713300,51.07456600,148,0.20608400
SIFT,SIFT,9,1422,65.29881100,52.18615400,159,0.24297900

